"Timestamp","How old are you?","What is your nationality (nationalities)?","Where do you currently reside (city and country)?","What is your occupation?","How often do you travel per year (by airline, train, bus, etc.)?","What type of luggage do you use when travelling? (multiple answers possible)","Do you use bulky luggage and if so, for what items?","Do you plan to buy a new piece of luggage in the next year?","If yes, what type of luggage and why?","Have you ever had to repack your luggage because you exceeded the weight limit?","Have you ever left behind your luggage somewhere when travelling?","Has your luggage ever been misplaced by an airline?","Do you own any smart luggage?","If yes, which smart luggage do you own and why did you buy it? ","If no, what currently prevents you from purchasing a smart luggage?","Do you own and use an AirTag or similar tracking device when travelling?","What would enhance your travel experience when travelling with luggage (e.g. tracking device, integrated scale)?","What are your biggest concern(s)/fear(s) when travelling with luggage?","How much would you be willing to pay for such a solution?"
"2023/11/14 11:29:44 am CET","26","german","Munich, Germany ","dual student","7-9","Suitcase (carry-on);Backpack (below 50 litre);Duffel bag/Weekender;Handbag","","No","","No","Yes","No","Yes","carry-on suitcase with tsa lock","","No","integrated scale","Loosing your luggage;Misplaced luggage (by the carrier);Damaged luggage","46-60 €"
"2023/11/14 1:21:07 pm CET","63","German","Helsinki, Finland","Translator","7-9","Suitcase (carry-on);Suitcase (check-in luggage);Laptop bag","","No","","Yes","Yes","Yes","No","","I do not need a new piece of luggage","No","possibly a tracking device","Misplaced luggage (by the carrier)","16-30 €"
"2023/11/14 2:53:39 pm CET","22","Austria, Germany","Washington D.C., USA","Student / Private Equity Working Student","More than 15 times","Suitcase (carry-on);Suitcase (check-in luggage);Backpack (below 50 litre)","Sometimes Golf Equipment ","No","","Yes","No","No","No","","I do not see the benefit and like to stick to more classy looking luggage (Rimowa aluminum) ","No","Location tracking","Damaged luggage","16-30 €"
"2023/11/14 3:01:38 pm CET","32","German","Lisbon, Portugal","Customer Success","10-15","Suitcase (check-in luggage);Backpack (below 50 litre);Duffel bag/Weekender;Laptop bag;Surfboardbag","Surfboards ","Yes","suitcase for flights","No","No","Yes","No","","Never thought of it","No","vibration meter / detector","Misplaced luggage (by the carrier);Damaged luggage","46-60 €"
"2023/11/14 3:18:59 pm CET","45","Austria","Amman / Jordan","Assistant","4-6","Suitcase (carry-on);Suitcase (check-in luggage);Handbag","","No","","Yes","No","Yes","No","","Not necessary","No","Integrated scale","Misplaced luggage (by the carrier);Luggage theft;Overweight fees;Luggage mix up;Delayed luggage","46-60 €"
"2023/11/14 3:50:32 pm CET","22","German","Stuttgart, Germany","Student","1-3","Suitcase (carry-on);Suitcase (check-in luggage);Duffel bag/Weekender","","No","","Yes","No","Yes","No","","","No","Tracking device, integrated (phone) charging station ","Loosing your luggage;Luggage theft","1-15 €"
"2023/11/15 1:31:35 am CET","45","Singapore","Singapore","Shipping Operator","1-3","Suitcase (carry-on);Suitcase (check-in luggage);Backpack (below 50 litre)","No","Yes","Suitcase with wheels for both check in and hand carry. The current suitcase is falling apart.","Yes","No","Yes","No","","Cost and Weight","Yes","More reliable services from the airlines.","Loosing your luggage;Misplaced luggage (by the carrier);Overweight fees;Delayed luggage","46-60 €"
"2023/11/15 2:56:04 am CET","60","German, Australian","Sydney","Retired","4-6","Suitcase (carry-on);Suitcase (check-in luggage);Backpack (below 50 litre);Handbag","no","No","","No","No","Yes","No","","Don't think I need it","No","tracking device would be good, but would be better to be used across my multiple suitcases (I have different sizes for different lengths of trips and depending on which season I travel)","Misplaced luggage (by the carrier)","I would not buy such a solution"
"2023/11/15 9:31:19 am CET","47","German","Germany","Senior Researcher","7-9","Suitcase (carry-on);Suitcase (check-in luggage);Duffel bag/Weekender;Handbag;Laptop bag","Ski","No","","No","Yes","Yes","No","","I use an Air Tag to track my luggage.","Yes","No more luggage delays","Loosing your luggage;Misplaced luggage (by the carrier);Damaged luggage","16-30 €"
"2023/11/15 10:11:00 am CET","22","Deutsch","Dresden in Deutschland ","Architektur Student","4-6","Backpack (below 50 litre);Duffel bag/Weekender","Yes, for Sports equipment","Yes","Bigger backpack... My current backpack ist to small and not comfortable ","Yes","No","No","No","","Not enough money as a student","No","a transparent 1 liter clip-on bag for liquids","Loosing your luggage;Luggage theft","1-15 €"
"2023/11/15 1:49:04 pm CET","22","German","Munich ","Student ","10-15","Suitcase (carry-on);Backpack (below 50 litre)","No ","Yes","Handluggage because mine is broken ","Yes","Yes","Yes","No","","To expensive ","No","Tracking devices ","Loosing your luggage;Misplaced luggage (by the carrier);Overweight fees;Luggage mix up","1-15 €"
"2023/11/15 7:22:01 pm CET","58","Austria ","Amman, jordan","Housewife ","4-6","Suitcase (check-in luggage);Backpack (50 litre and above)","No","No","","Yes","No","Yes","No","","No need","No","I don't know","Loosing your luggage","16-30 €"
"2023/11/15 7:41:36 pm CET","58","German","Uznach Switzerland ","Travel agent","7-9","Suitcase (carry-on);Suitcase (check-in luggage);Handbag","No","Yes","Bigger suitcase as my old one needs to be renewed ","No","No","Yes","No","","Never thought about it","No","Tracking device","Loosing your luggage;Misplaced luggage (by the carrier);Damaged luggage;Delayed luggage","31-45 €"
"2023/11/15 10:14:58 pm CET","57","German","Sierra leone","Pharmacist at the UN","7-9","Suitcase (carry-on);Suitcase (check-in luggage);Handbag","No","No","","Yes","Yes","No","No","","I am not having problems with the luggage, even though we have unusual countries traveling too. we usually  book the slightly more reliable (and expensive) airlines. Maybe this is the reason why we do not have problems ","No","Integrated scale would be super. 👍 ","Overweight fees","16-30 €"
"2023/11/16 3:52:25 pm CET","23","Germany","Loughborough, UK","Student","7-9","Backpack (below 50 litre);Handbag;Laptop bag","","No","","No","No","No","No","","Never heard of it before","No","Integrated tracking possibilities ","Loosing your luggage","1-15 €"
"2023/11/16 5:17:34 pm CET","22","German","Maastricht, Netherlands","Student","10-15","Suitcase (carry-on);Suitcase (check-in luggage);Backpack (below 50 litre);Handbag","","No","","Yes","No","No","No","","I did not know about it ","No","scale","Loosing your luggage;Overweight fees","76-100 €"
"2023/11/17 10:40:01 pm CET","51","German","Valencia, Spain","None ","4-6","Suitcase (carry-on);Duffel bag/Weekender;Handbag;Laptop bag","","No","","Yes","No","Yes","No","","What's the point?","No","Can't think of any","Damaged luggage;Overweight fees","I would not buy such a solution"
"2023/11/21 8:22:35 am CET","23","German ","Tübingen Germany ","Student ","10-15","Suitcase (carry-on);Backpack (below 50 litre);Duffel bag/Weekender;Handbag;Laptop bag","","No","","Yes","Yes","Yes","Yes","A bag with a charging port for for independent travel without worrying about the battery ","","No","Both of those would be helpful ","Luggage theft;Overweight fees","31-45 €"
"2023/11/21 11:29:31 am CET","22","German","Germany","Student","4-6","Suitcase (carry-on);Suitcase (check-in luggage);Backpack (below 50 litre)","","No","","Yes","No","Yes","No","","","Yes","Tracking device, extra protected pocket for laptop etc., integrated scale would be useful","Loosing your luggage;Damaged luggage;Luggage mix up","16-30 €"
"2023/11/21 12:49:31 pm CET","22","Swiss","Basel, Switzerland","Student","1-3","Suitcase (check-in luggage);Duffel bag/Weekender;Laptop bag","","No","","Yes","No","Yes","No","","Because I think that I don’t travel enough to need these kind of luggages. ","No","I think that an integrated scale would be a very useful gadget to have in a luggage since it could help save you some expenses when you luggage is to heavy. But also a tracking device would be even more important I think. Especially since luggages get stolen or lost more frequently. ","Loosing your luggage;Misplaced luggage (by the carrier);Luggage theft;Overweight fees","76-100 €"
"2023/11/21 1:06:06 pm CET","23","Sri Lanka","Olten Switzerland","Student","1-3","Suitcase (check-in luggage)","Clothes","No","","Yes","No","No","No","","I dont need it at the moment","No","Integrated scale","Loosing your luggage","31-45 €"
